# Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
# Created: 2020 Apr 06 1000 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2019 10         1.6     2.6     0.6       69.2    70.2    68.2
2019 11         1.3     3.3     0.0       68.3    69.3    67.3
2019 12         1.3     4.3     0.0       67.6    69.6    65.6
2020 01         1.4     6.4     0.0       67.1    70.1    64.1
2020 02         1.6     6.6     0.0       66.6    70.6    62.6
2020 03         1.7     7.7     0.0       66.0    70.0    62.0
2020 04         1.8     8.8     0.0       65.4    70.4    60.4
2020 05         2.0     9.0     0.0       64.7    70.7    60.0
2020 06         2.1    10.1     0.0       63.8    70.8    60.0
2020 07         2.0    11.0     0.0       62.9    70.9    60.0
2020 08         1.9    10.9     0.0       61.9    69.9    60.0
2020 09         2.0    12.0     0.0       61.0    70.0    60.0
2020 10         1.9    11.9     0.0       60.5    69.5    60.0
2020 11         1.7    11.7     0.0       60.3    69.3    60.0
2020 12         1.6    11.6     0.0       60.2    69.2    60.0
2021 01         1.5    11.5     0.0       60.0    69.0    60.0
2021 02         1.3    11.3     0.0       59.9    68.9    60.0
2021 03         1.2    11.2     0.0       59.8    68.8    60.0
2021 04         1.1    11.1     0.0       59.7    68.7    60.0
2021 05         1.0    11.0     0.0       59.6    68.6    60.0
2021 06         0.9    10.9     0.0       59.6    68.6    60.0
2021 07         0.9    10.9     0.0       59.5    68.5    60.0
2021 08         0.8    10.8     0.0       59.4    68.4    60.0
2021 09         0.7    10.7     0.0       59.4    68.4    60.0
2021 10         0.7    10.7     0.0       59.3    68.3    60.0
2021 11         0.6    10.6     0.0       59.2    68.2    60.0
2021 12         0.5    10.5     0.0       59.2    68.2    60.0
2022 01         0.5    10.5     0.0       59.2    68.2    60.0
2022 02         0.4    10.4     0.0       59.1    68.1    60.0
2022 03         0.4    10.4     0.0       59.1    68.1    60.0
2022 04         0.4    10.4     0.0       59.0    68.0    60.0
2022 05         0.3    10.3     0.0       59.0    68.0    60.0
2022 06         0.3    10.3     0.0       59.0    68.0    60.0
2022 07         0.3    10.3     0.0       59.0    68.0    60.0
2022 08         0.2    10.2     0.0       58.9    67.9    60.0
2022 09         0.2    10.2     0.0       58.9    67.9    60.0
2022 10         0.2    10.2     0.0       58.9    67.9    60.0
2022 11         0.2    10.2     0.0       58.9    67.9    60.0
